ratio_occupation,nb_transitions,duree_max_bloc_1_ms,duree_activation_estimee_ms,temps_repos_avant_ms,temps_repos_apres_ms,score,label,class_name
0.29,2.0,580.0,580.0,770.0,650.0,15.746738319326006,1,swipe_rapide
0.13,2.0,260.0,260.0,897.5,842.5,14.141416654478762,0,tap
0.45625,2.0,912.5,912.5,735.0,352.5,16.707356068966774,1,swipe_rapide
0.62625,2.0,1252.5,1252.5,382.5,365.0,18.92618029395991,2,swipe_lent
0.23875,2.0,477.5,477.5,787.5,735.0,14.378836201290211,0,tap
0.465,2.0,930.0,930.0,492.5,577.5,18.279913062359803,2,swipe_lent
0.35,2.0,700.0,700.0,812.5,487.5,17.0969292615856,1,swipe_rapide
0.45,2.0,900.0,900.0,392.5,707.5,19.01309593186449,2,swipe_lent
0.0625,2.0,125.0,125.0,932.5,942.5,11.51283549009909,0,tap
0.23875,2.0,477.5,477.5,597.5,925.0,14.77155108437269,0,tap
0.105,2.0,210.0,210.0,1022.5,767.5,13.442955863316644,0,tap
0.205,2.0,410.0,410.0,892.5,697.5,16.70777591241,1,swipe_rapide
0.41625,2.0,832.5,832.5,362.5,805.0,18.704693013324995,2,swipe_lent
0.705,2.0,1410.0,1410.0,377.5,212.5,17.820684089242828,1,swipe_rapide
0.08,2.0,160.0,160.0,962.5,877.5,11.054064342338505,0,tap
0.30125,2.0,602.5,602.5,542.5,855.0,15.993325254640745,1,swipe_rapide
0.22125,2.0,442.5,442.5,890.0,667.5,14.71446381031202,0,tap
0.07,2.0,140.0,140.0,990.0,870.0,13.287470055624967,0,tap
0.01875,2.0,37.5,37.5,1012.5,950.0,9.226269895369075,0,tap
0.58125,4.0,910.0,910.0,337.5,497.5,20.928843083901725,2,swipe_lent
0.64,2.0,1280.0,1280.0,460.0,260.0,19.11433283407374,2,swipe_lent
0.50625,2.0,1012.5,1012.5,515.0,472.5,16.877441524204933,1,swipe_rapide
0.4275,2.0,855.0,855.0,407.5,737.5,17.886120828291713,1,swipe_rapide
0.54375,4.0,745.0,745.0,450.0,460.0,19.229179688268815,2,swipe_lent
0.3275,4.0,520.0,520.0,647.5,695.0,16.11689944535503,1,swipe_rapide
0.36375,4.0,507.5,507.5,597.5,672.5,17.137136623155136,1,swipe_rapide
0.315,4.0,627.5,627.5,830.0,537.5,20.423948788539708,2,swipe_lent
0.52625,2.0,1052.5,1052.5,545.0,402.5,18.57832262261017,2,swipe_lent
0.0925,2.0,185.0,185.0,972.5,842.5,13.432432067863566,0,tap
0.66375,2.0,1327.5,1327.5,392.5,280.0,20.687277062119893,2,swipe_lent
0.6825,4.0,1362.5,1362.5,212.5,117.5,23.38089823925145,2,swipe_lent
0.23875,2.0,477.5,477.5,657.5,865.0,14.444485350529442,0,tap
0.52375,2.0,1047.5,1047.5,482.5,470.0,18.197155098623877,1,swipe_rapide
0.1775,4.0,352.5,352.5,642.5,780.0,14.886809794676696,0,tap
0.1975,4.0,392.5,392.5,797.5,532.5,14.803091232749695,0,tap
0.04375,4.0,85.0,85.0,987.5,835.0,12.473986004115797,0,tap
0.6825,2.0,1365.0,1365.0,345.0,290.0,19.432606426900605,2,swipe_lent
0.74,2.0,1480.0,1480.0,140.0,380.0,18.928226669122076,2,swipe_lent
0.19,2.0,380.0,380.0,910.0,710.0,12.551972263226125,0,tap
0.48125,2.0,962.5,962.5,642.5,395.0,17.675873549211435,1,swipe_rapide
0.25125,2.0,502.5,502.5,790.0,707.5,15.205556117288987,0,tap
0.5125,2.0,1025.0,1025.0,347.5,627.5,21.19291142047463,2,swipe_lent
0.48875,2.0,977.5,977.5,365.0,657.5,19.85995847691018,2,swipe_lent
0.7025,4.0,1147.5,1147.5,240.0,352.5,22.7983276536296,2,swipe_lent
